index,review,review_date,hotelName,hotelUrl
10,This is a great hotel with a very nice location Staff was both friendly and professional Restaurants were great with pricing and taste. Rooms were very clean and comfortable. It's a large hotel but you never feel lost in it. ,9-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
11,"Booked the Millennium Suite for three days. Room wasn't ready until 5:00 pm. The room itself was in poor condition, half of the sofa was missing so the ""living area"" was not usable. Furniture was chipped and overall beat-up. Pain pealing from the door, stains on the curtains.VERY disappointed, as Hyatt typically has higher standardsNote: Location is amazing, but there are other hotels nearby",9-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
12,This Hotel has plenty of seating/sofas all around the Hotel! it provides a very relaxing atmosphere all through the day. The location is absolutely fantastic right by the River walk! Reasonably priced as well.,9-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
13,Not worth the money. The location and view are great but the staff is snotty and not cooperative and the rooms were dirty and dated. The pillows were like giant sand bags from gym class. I will never stay there again and i was looking forward to a fancy stay. Definitely not the case,8-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
14,The second we checked in was the start to the best customer service I have ever had. Even the bartenders at the Big Bar were Fantastic. The room was super clean and accommodating. The location was also amazing. we were able to walk to a lot of places we wanted and its so close to the bean! the views on the river were not bad to look at as well. I would 100% stay here again!,8-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
15,"No better choice for price, location, and quality of staff. Highly recommend and will be my first choice on any future visits. I'm not even a rewards member. Walking distance to Navy Pier, Sears/Willis Tower, Millinium Park restaurants, tours, and night life. ONLY negative was no room fridge.",8-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
16,"Nice property with fantastic location near museums, shopping, restaurants. Next to the Magnificent MileThe hotel has all the facilities and great customer service. they acommodate you as much as they can.Always with smile ready to help, and sincere concern that you are happy and confortable. Also at the property there is Stetson, a steak restaurant, fabulous, great steaks and service. Ask for a room with a view",8-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
17,The location was convenient to major attractions. The staff was friendly. The lobby had many options available for eating. Would love to come stay again. The rooms and common areas were well kept. Highly recommend,7-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
18,"Perfect Location. Great Stetsons restauraut in the hotel, as well as a big bar, and starbucks. Walk around the corner to Giordannos pizza, steps to Michigan Ave, overlooked the river walk. We were able to walk to Navy Pier, Millenium Park, Fountain, Oak Street Beach via Michigan Ave shopping. It was comfortable, clean and friendly check in.",7-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
19,"I was disappointed with the Hyatt Recency Chicago. I have stayed at other Hyatt hotels and I am part of the World of Hyatt, but this hotel needs some updating. We had 3 different rooms on different floors and was disappointed with all 3 rooms. The carpet was dirty and dingy in all rooms. The bathroom clogged in one room and they had to replace the shower. Another room had 2 double beds when they paid for 2 queens. Although we were up high our views were of an apartment complex. The location is not bad, but I think I would stay on the other side of the river next time. ",7-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
20,We travel alot and have experienced alot of stays in hotels. All of them had a microwave and a mini fridge no matter if it was a 3 star but this one didn't :( just because we got it only we got one of the worst rooms. Hope it's better next time.,7-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
21,"The Hyatt Regency Chicago has a great location and was super helpful with all of our questions. As a first time visitor I called a few days ahead of time and got very helpful information on how to get to the hotel, and get around. The location was perfect for us. We spent the morning/early afternoon walking and exploring and were able to make it back for a quick recharge before heading back out for the evening. Next time we come to Chicago, the Hyatt Regency will definately be our choice!",7-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
22,"My Auntie came to visit Chicago for the first time and we were very impress by the hotel location and the amenity that was offer and views and great shopping location.Everything was in walking distance to sightseeing ,touring",6-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
23,"The location is very good: near all the places I want to visit. The staff were friendly, and the room was in good condition. The food in the club was healthy and high quality. It would be better with more varaible choices day to day.",5-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
24,"Very nice hotel, better than expectation! Restaurant (American Craft) is excellent for both breakfast and dinner. We wanted to try the other restaurant in the Hotel (the steak and sushi one) as well, but it was all closed during our stay. ",5-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
25,"I had the opportunity to stay at this hotel for a training. It is well located, nice people at Front Desk, Food service, Gift Shop. Very clean the rooms and specially the bathrooms. High quality experience, nice view to the city. ",5-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
26,"The hotel and the facilities were great. Clean rooms and washrooms.The location was amazing, walking distance to most major places in town.Would definitely recommend this hotel to anyone who is visiting Chicago.",4-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
27,Very nice hotel. Staff was excellent. Walking distance to lots of sights. Easy access to public transportation. Rooms were quiet and comfortable. Wish it had a refrigerator that’s wasn’t full of over price beverages!,3-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
28,"It`s very nice hotel.The club rooms is amazing. The hotel location is excellent, walk distance for most of benchmarks. The breakfast at Regency club was very nice. the river view is amazing. my family would like to return again. ",3-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
29,"First: I have to say that I am biased...I LOVE CHICAGO! It is such a wonderful city and I'd probably be happy sleeping in a tent in Grant Park just to be there. I have been 5 times and every time, stayed at a good hotel so I am happy to include The Hyatt Regency on my list. Billed as ""The Largest Hotel in Chicago"" it really is BIG and quite busy but even so, it was a really comfortable stay.My Husband and I were there for the IRCE Show and it is obvious that this spot caters mainly to the business traveler. Our room was in the West Tower, 6th floor with a lovely view of the river. The bed was really comfortable, a blanket and extra pillow was provided (my Husband is a Pillow Hugger). It was very quite- which is rare in a large hotel- never heard Elephants over us or conversations through the walls.My only real complaint was the bathroom. No counter space, no storage-other than a small shelf under the sink- and terrible lighting. I'm still surprised when I see bad lighting in bathrooms these days. A Guy on his way out to a Trade Show probably wouldn't care but Women DO! I don't wear much makeup but I had to put it on at the desk next to the window. Space-wise it was decent and the towels were fine but the shower/tub combo was dated. Water pressure was ok but not great.They have a stocked fridge in these rooms- the kind where you will get charged massive amounts of money if you even think about moving that pack of M&Ms. There are a few other snacks on the counter as well. We did not need to spend on those as we took advantage of the Amazon Go store around the corner- which is awesome! First time seeing one and for a traveler, it's the perfect solution.As long as you have the Amazon app on your phone- you are good to go.One plus is that the Hyatt Regency provided vouchers for bottles of water- appreciated that a lot.Location wise- you are right along the river so you have beautiful views and are adjacent to the best that Chicago has to offer. Be prepared to walk EVERYWHERE.It's safe and a lot of fun. One day, I clocked over 21,000 steps on my Fitbit. Bring comfy shoes and take your time on Michigan Avenue. For a really great time, check out the Wendella Architecture Boat Tour. We went out on a mid-week evening and it was wonderful.There are nice bars and restaurants in the hotel. We had the breakfast buffet the day we left- it was good but not great. Didn't hit any of the bars as we have favorite restaurants in town but they looked lively. All-in-All, it's a really nice hotel and I would stay again....hope they rethink those bathrooms though!",2-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
30,"I thoroughly enjoyed everything about my stay at the Hyatt. I would definitely stay here again. The room was spacious, clean and quiet. The view of the Chicago skyline was nothing short of spectacular. The food was well prepared and the staff was polite and eager to help. The breakfast buffet was delicious. The hotel is centrally located very close to all of the activities we enjoyed in the city. Most of which were well within walking distance of the hotel I was very impressed; and so was my date. ",2-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
31,Had a wonderful stay. Everything was great except the in room phones did not work and the water in sinc faucet barely trickled out. The faucet was an easy aerator replacement and fix but the phone were not fixed at all. That was frustrating,2-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
32,"I have stayed here many times. What makes it special? Beauty, top notch service and ""extras."" Extras? Like a breakfast island surround by water in the lobby. And access to the Illinois Center next door: several stories of every conceivable sports equipment and courts. It is just a fun place to stay.",2-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
33,"The hotel is clean, our room was quiet. Lots of amenities but the best part is the location. Great walking neighborhood for getting to Millennial Park, Michigan Ave, the Art Institute, Navy Pier, and shopping. Restaurants are plentiful and the hotel has a small but pricey market.",2-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
34,"I had a great experience at this hotel. The bar and food options were good, it was walking distance from multiple restaurants, shopping and other fun activities. Great view from some of the rooms as well.",1-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
35,I liked the location of this hotel - right in the heart of the City. They charge $69 per night for guests to park which I think is WAY too high. Plus $75 per night for incidentals. If you stay for 5 days you will spend $720 for parking and incidentals. Parking and incidentals costs more than the room. Also my sheets didn't smell fresh. The bellmen and front desk staff were excellent.,1-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
36,"Rooms were okay, there was really nothing special the location was great but honestly that was the only thing appealing about this hotel. I had reserved three rooms for my friends and I and asked that they be somewhat close to each other. Ended up having two rooms on the fifth floor and one on the twelfth. Also had my reservation under a third party a couple people backed out and I called and asked a month ahead of time if I could change my three rooms to one suite and pay the difference if there was one and they would not let me. Was told breakfast was complimentary until there was a bill for $27 per person at the end. Also called ahead to see if someone else could check in as I would be there later and instead of authorizing that for all three rooms they took that as one room. Ultimately it was nice being closed to things but the hotel showed the value was only really in its location. ",1-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
37,"Last minute booking and the agent was very friendly and agreed in accepting the deal we found online.Great location close to many restaurants, shops, and the magnificent mile. We booked a tow queen beds room. The room was very clean an the beds were very comfortable. The lobby is lively and has restaurants and places for relaxation. We really enjoyed our stay. ",1-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
38,The two day training conference was excellent but it paled in comparison to the two Cubs games that we were able to attend. Wrigley Field is by far the most nostalgic baseball stadium I have ever attended.,1-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
39,A good location in the heart of Chicago. A colleague of mine stayed in a boutique hotel around the corner for $100 per night cheaper and a much nicer hotel the very same week.The Hyatt is very busy with crowds of people moving around the whole time. There are much better value hotels in the area without the hustle and bustle of here.,1-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
40,"Good quality rooms, some with amazing views. The elevator service in East wing can improve as the wait times are too long during morning rush hour. The room service can improve in terms of organizing items such as iron board, etc. that the guest didn't had the time to put back in place.",30-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
41,"Due to your gross negligence, I was charged someone else's room charges. You filed my card under someone else's name, and I was double charged. Even after charge reversal, I paid excess due to currency conversion. I demand a refund on this. No one has replied my emails for weeks. Please explain1. Why was I was charged someone else's stay of US$1569.212. How have you ensured this will not occur again3. Why was I emailed someone else's invoice with full name and address, violating personal data privacy policy4. What are you doing for service recoveryIf I could rate zero stars, I would.",29-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
42,Everyone was very friendly and helpful. The staff members were attentive. We thought the room price with the parking was a great value and the location was great. We experienced a family emergency and they were caring and very accommodating. ,29-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
43,"I found hotel was too pricy, I paid $260 per night so I was expecting something really extraordinary! However, it was just like any regular hotel room. Overall, rooms were clean and service was great!",29-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
44,"Food was excellent. Service was optimal in all departments. Bartender's were welcoming to this single woman traveling alone. All time favorite attribute of the hotel (aside from location), how present and alert everyone was. Came to check-in, bell man gave clear directions where FD was. Stepped into hotel, forgot all instructions-distracted by the awe of the place. No worries, someone was at the the bottom of the escalators to remind me where to go. Did not know which meeting room I needed to go to, two ladies were quick to get the answer for me. When I went to use the touch screen board, more help was offered. Could not locate meeting room, more people came to assist. Walking in the wrong direction for restrooms, I was quickly guided to the nearest restrooms. I'm not trying to highlight how much of an idiot I am. I was just blown away on how quick people were to respond. I'm fine with trying to find things on my own, but I'll never turn down help and your hotel always had friendly people around to help. ",29-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
45,Ideal location. Great services. Liked having the Marketplace for picking up food and drinks when needed. Easy access to all tourist attractions. Walking distance to great restaurants and the riverwalk. ,28-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
46,"The Hyatt Regency Chicago offers great services and is centrally located to enjoy the Chicago experience. The staff is accessible and responsive, as needed. I have stayed at this location twice within the last ten months and enjoyed consistent quality",28-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
47,"This was one of the greatest most memorable stays of my life with my wife. So many things to see and do and no need for a car. Use Uber or walk. We actually walked back from Soldier field after a concert, it was a great stroll along a great lake. This hotel made me feel important while also catering to groups of hundreds for various events. I appreciate that I was not discounted for being a small group in a high volume hotel. Impressive that they manage it all as well as they do. ",27-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
48,"I actually live here in Chicago but booked the Hyatt for my college chum of 30 years ago, who needed to get away. I chose the Hyatt for her. It's located in a central part of downtown and easily accessible for events, restaurants, and expressways.",27-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
49,"I don't know where to start. My experience has been so terrible that I write this review while I'm still staying here. Service: The moment I got here, I was heading to the check in counter and the woman flagged me down, said she could help check me in. They nickel and dime you here, want a higher floor, pay extra, want a better location room, pay extra. I said I just wanted a quiet room because I am a light sleeper and she put me in a room she says they put airline staff for that same reason. Great! What did I get? A 4th floor room (this hotel has over 30 floors) that faces....the Chicago Fire Department. Wow. Major fail on all levels. My work colleagues all got higher floors with no extra charge. Rooms: Tired and desperately needs an update. The bathroom smells of mildew and the shower had a clump of hair stuck to the back wall which was completely disgusting. Cleanliness is obviously not something they value at this hotel. Mattress is lumpy with one side slumped. You will hear your neighbors upstairs and on the sides. The walls are thin which is amazing for a hotel of this size.Location: Probably the only saving grace. It's walking distance to a lot of touristy sites if that's what you're here for. The only reason why I gave it two instead of one star. The other reason for the extra star was the fact they have a water refill station in the lobby so you don't have to destroy the environment by buying bottled water.I only stayed here due to convenience for a conference and since my work team was also all staying here. Normally, I would stay at one of the Kimptons in Chicago which are fabulous. This was a major oversight on my part - never again will I come back to the Hyatt.",26-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
50,The Hyatt Regency by the river was AMAZING!!! Great location!!! Wonderful view and very friendly staff. Very safe location. HUGE lobby and welcome area. very roomie. Staff was very helpful and close to everything we wanted to do.,26-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
51,"Love the location on the river and just steps from Michigan Avenue! The lobby area is huge, bright and modern...you don't feel crowded. The staff was very attentive, treating us as if we were in a small boutique hotel. A variety of food and drink places to choose from. Our room was very clean....love double sheets and cotton blankets. ",26-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
52,"My partner had a conference here, hence why we stayed. I normally prefer small quirky places so this is definitely not that. However, the hotel is in a fantastic location - close to most things so I was able to walk everywhere.The room was very good - large, mostly quiet, clean and comfortable with a king size bed. The wi-fi was excellent. However, we missed out on a good view that others have talked about - we had buildings opposite us so had to keep the curtains closed most of the time. Disappointing for me as I am a keen photographer.The room has a safe, iron and ironing board and large TV. There is a laundry service. Things I weren't so happy with were the terrible tasting coffee for the in-room coffee machine (also only paper cups provided); no recycling bin (though I read afterwards that housekeeping separates these items - I do hope this is the case); minibar with no room for your own items - don't remove anything from the fridge or you will be charged (however, I have since been told you can ask for a fridge if you have personal items); I asked to borrow an umbrella from reception and was told by the grumpy lady that there would be a $50 charge if the tatty old umbrella wasn't returned. And finally, housekeeping changed our sheets and towels after our first night even though a note says they will only be changed after three nights. So after that, we put out the sign on the door to not disturb some days.Check-in and check-out were excellent. And there is a market downstairs and a slightly expensive cafe/restaurant/bar which has very good coffee.",25-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
53,"I paid for two queens, asked at check-in to confirm it was queens, was given two doubles. Next day I complained, they gave me a new room, it also had two doubles. Finally, third room had queens. Pain in the butt, waste of time away from my event to resolve, no change in my rate for having the lesser room. Also, pee-stains on toilet seats.",25-Jun-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
54,Room was dirty and the hotel staff was completely rude and unhelpful. We were approved for an early check in but the front desk woman wouldn’t even look up our reservation. She simply screamed “NOT UNTIL 3PM”. She was a complete shrew. ,13-Jul-19,Inn of Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87566-Reviews-Inn_of_Chicago-Chicago_Illinois.html
55,"Not much for amenities but it is in a great location. Bed was cozy, hotel was quaint. Definitely worth the value. Half or a 1/3 of other hotels in the area. It is located in a perfect location on the Magnificent Mile a few blocks from Navy Pier and other big shops.",12-Jul-19,Inn of Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87566-Reviews-Inn_of_Chicago-Chicago_Illinois.html
56,"Great hotel, great prices, cordial staff. Great location. Old hotel but remodel, extremely small bathrooms but comfortable. The room was small but great and comfortable bed. Bus stations and restaurants within walking distance. Only a short bus ride to navy pier",10-Jul-19,Inn of Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87566-Reviews-Inn_of_Chicago-Chicago_Illinois.html
57,"Honestly, I haven't been so disappointed in a hotel stay in a very long time. I respectfully submit this review because Chicago Inn has got to do better. I'll be going into a few things that desperately need to be addressed. First and foremost, please make sure your rooms match the elegance of the main lobby. Maybe elegance is to strong a word but it sure as heck looks a lot better then the overall decor of the hallways and the rooms, well at least the two rooms I was in; more on that later. Ok, let me go back to the beginning. I originally booked my hotel stay for a week but unfortunately my flight was canceled and I was cut down to four days instead of the five. As you can imagine, I was already on edge upon arrival but thankfully the flight was fast. I quickly got over the loss of a day and I was quite eager to enjoy the Chitown. So, I go to check in and the process was long because I missed a day as I mentioned and for some long drawn out reason, they had to reestablish my reservation in the system. To the front desk reservationist credit, he admitted it was his second day on the job and thanked me for my patience. Full disclosure here, my reservation was made through a Groupon but that shouldn't matter. Anyway, I get things squared away at the desk and I'm given my room assignment. Now why did they put me in a room right next to a loud compressor. The compressor was making so much noise I could hear it when I got off the elevator. When I rounded the corner and saw that my room was right next to it, I didn't even go in. I went back to the front desk and asked for a room that could provide me with peace and quiet because I find it hard to sleep with loud noises. Well, I wouldn't be so lucky the second time. This time, I was given a room on the same floor (15) diagonal from the elevator. The rooms AC was warm at best and the TV didn't work the entire time I was in residence. But wait the nightmare continues. After trying to hype myself up to tolerate this mess, I decided the room was entirely to hot and I needed to be able to get a good night's rest, after all, I paid for decent accomodations and this was not it. So, I wrote down a list of issues and headed back down stairs and spoke to JC. I explained my situation from the very beginning and he was quite sympathetic and he tried his level best to make the situation right. Unfortunately, he sent me right back to the room that I was originally assigned. Now at this point, I'm just done but my curiosity got the best of me and I decided to go in the room this time. It was a hot mess, no, the room was not hot, it was entirely too cold and musty. At this point, I'm thinking, these must be the Groupon rooms. Why in the world would would they be looking into the computer for so long, I get it, they must have room specifically for Groupon. Long story short, I went back to the front desk and told JC. That I would just stick to the room I was originally assigned. I didn't even mention that the room he offered as a trade was the room I was originally sent to. He could tell I was disappointed. He knew I was disappointed because the list I went over with him outlined the myriad of problems like the wallpaper peeling off the wall, the leak behind the toilet or the fact that the tv was unable to get a signal the whole time I was there. I would have requested ba refund but Groupon prohibits that. To be in the heart of everything and just minutes away from Miracle Mile, Chicago Inn leaves a lot to be desired. ",9-Jul-19,Inn of Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87566-Reviews-Inn_of_Chicago-Chicago_Illinois.html
